Timestamp;Epoch;OutsideVert;OutsideHor;InsideCeiling;InsideTable;InsideWork;InsideEye;InsideTable2;InsideWork2
10.07.2019 00:00:59;1562709659981;10.00;0.00;0.03;0.00;0.00;32.00;3.00;0.00;0.00
10.07.2019 00:01:59;1562709719984;10.00;0.00;0.03;0.00;0.00;28.00;3.00;0.00;0.00
10.07.2019 00:03:09;1562709789984;10.00;0.00;0.03;0.00;0.00;31.00;3.00;0.00;0.00
10.07.2019 00:04:09;1562709849985;10.00;0.00;0.03;0.00;0.00;32.00;2.00;0.00;0.00
10.07.2019 00:05:09;1562709909986;10.00;0.00;0.03;0.00;0.00;23.00;3.00;0.00;0.00
10.07.2019 00:06:09;1562709969987;10.00;0.00;0.03;0.00;0.00;31.00;3.00;0.00;0.00
10.07.2019 00:07:09;1562710029988;10.00;0.00;0.03;0.00;0.00;24.00;3.00;0.00;0.00
10.07.2019 00:08:09;1562710089989;10.00;0.00;0.03;0.00;0.00;28.00;3.00;0.00;0.00
10.07.2019 00:09:09;1562710149991;10.00;0.00;0.03;0.00;0.00;31.00;3.00;0.00;0.00
10.07.2019 00:10:09;1562710209991;10.00;0.00;0.03;0.00;0.00;25.00;3.00;0.00;0.00
10.07.2019 00:11:09;1562710269994;10.00;0.00;0.03;0.00;0.00;28.00;3.00;0.00;0.00
10.07.2019 00:12:09;1562710329995;10.00;0.00;0.03;0.00;0.00;29.00;3.00;0.00;0.00
10.07.2019 00:13:09;1562710389995;10.00;0.00;0.03;0.00;0.00;23.00;3.00;0.00;0.00
10.07.2019 00:14:09;1562710449996;10.00;0.00;0.03;0.00;0.00;30.00;3.00;0.00;0.00
10.07.2019 00:15:09;1562710509998;10.00;0.00;0.03;0.00;0.00;33.00;3.00;0.00;0.00
10.07.2019 00:16:09;1562710569999;10.00;0.00;0.03;0.00;0.00;26.00;3.00;0.00;0.00
10.07.2019 00:17:10;1562710630000;10.00;0.00;0.03;0.00;0.00;31.00;3.00;0.00;0.00
10.07.2019 00:18:10;1562710690001;10.00;0.00;0.03;0.00;0.00;24.00;3.00;0.00;0.00
10.07.2019 00:19:10;1562710750001;10.00;0.00;0.03;0.00;0.00;31.00;3.00;0.00;0.00
10.07.2019 00:20:10;1562710810004;10.00;0.00;0.03;0.00;0.00;25.00;3.00;0.00;0.00
10.07.2019 00:21:10;1562710870004;10.00;0.00;0.03;0.00;0.00;28.00;3.00;0.00;0.00
10.07.2019 00:22:10;1562710930007;10.00;0.00;0.03;0.00;0.00;32.00;2.00;0.00;0.00
10.07.2019 00:23:10;1562710990008;10.00;0.00;0.03;0.00;0.00;33.00;3.00;0.00;0.00
10.07.2019 00:24:10;1562711050008;10.00;0.00;0.03;0.00;0.00;32.00;3.00;0.00;0.00
10.07.2019 00:25:10;1562711110009;10.00;0.00;0.03;0.00;0.00;31.00;3.00;0.00;0.00
10.07.2019 00:26:10;1562711170010;10.00;0.00;0.03;0.00;0.00;28.00;3.00;0.00;0.00
